            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459969.000000000, A.D. 2023-Jan-24 12:00:00.0000, -5.610699893599636E-01,  8.273506317096185E-01, -2.378609188928611E-03, -1.461378539893591E-02, -9.695419519328475E-03,  5.129790404108062E-05,  5.773537735626127E-03,  9.996570704658513E-01,  1.777839039690267E-04,
2459969.041666667, A.D. 2023-Jan-24 13:00:00.0000, -5.616787513068163E-01,  8.269464341187251E-01, -2.376469671581883E-03, -1.460678677418230E-02, -9.706063993752923E-03,  5.139891647942056E-05,  5.773580528387374E-03,  9.996644798027783E-01,  1.778642760563191E-04,
2459969.083333333, A.D. 2023-Jan-24 14:00:00.0000, -5.622872214847520E-01,  8.265417931143247E-01, -2.374325946863832E-03, -1.459978049164629E-02, -9.716703366514574E-03,  5.149985787023136E-05,  5.773623340494984E-03,  9.996718924894245E-01,  1.779446907568300E-04,
2459969.125000000, A.D. 2023-Jan-24 15:00:00.0000, -5.628953995747926E-01,  8.261367089091464E-01, -2.372178017745421E-03, -1.459276655527740E-02, -9.727337630447625E-03,  5.160072770238246E-05,  5.773666171959495E-03,  9.996793085276142E-01,  1.780251496038379E-04,
2459969.166666667, A.D. 2023-Jan-24 16:00:00.0000, -5.635032852581284E-01,  8.257311817161584E-01, -2.370025887206476E-03, -1.458574497023134E-02, -9.737966780177396E-03,  5.170152596269476E-05,  5.773709022791540E-03,  9.996867279191883E-01,  1.781056533276911E-04,
2459969.208333333, A.D. 2023-Jan-24 17:00:00.0000, -5.641108782159107E-01,  8.253252117486196E-01, -2.367869558807340E-03, -1.457871571646842E-02, -9.748590802303017E-03,  5.180220956671142E-05,  5.773751893001422E-03,  9.996941506659310E-01,  1.781861951697381E-04,
2459969.250000000, A.D. 2023-Jan-24 18:00:00.0000, -5.647181781279859E-01,  8.249187992206883E-01, -2.365709037606360E-03, -1.457167878970535E-02, -9.759209683569289E-03,  5.190279628007286E-05,  5.773794782597906E-03,  9.997015767693599E-01,  1.782667769089687E-04,
2459969.291666667, A.D. 2023-Jan-24 19:00:00.0000, -5.653251846755896E-01,  8.245119443462439E-01, -2.363544326766095E-03, -1.456463422269738E-02, -9.769823434655177E-03,  5.200331184093848E-05,  5.773837691591314E-03,  9.997090062312620E-01,  1.783474015016042E-04,
2459969.333333333, A.D. 2023-Jan-24 20:00:00.0000, -5.659318975404377E-01,  8.241046473391340E-01, -2.361375429282856E-03, -1.455758201800134E-02, -9.780432050599464E-03,  5.210375503139476E-05,  5.773880619991789E-03,  9.997164390533932E-01,  1.784280678693388E-04,
2459969.375000000, A.D. 2023-Jan-24 21:00:00.0000, -5.665383164043957E-01,  8.236969084134306E-01, -2.359202348168146E-03, -1.455052218004415E-02, -9.791035526023456E-03,  5.220412600084866E-05,  5.773923567809429E-03,  9.997238752375028E-01,  1.785087763322675E-04,
2459969.416666667, A.D. 2023-Jan-24 22:00:00.0000, -5.671444409494845E-01,  8.232887277834334E-01, -2.357025086442181E-03, -1.454345471277669E-02, -9.801633855837379E-03,  5.230442417518202E-05,  5.773966535054344E-03,  9.997313147853406E-01,  1.785895267059049E-04,
2459969.458333333, A.D. 2023-Jan-24 23:00:00.0000, -5.677502708579029E-01,  8.228801056636640E-01, -2.354843647147690E-03, -1.453637962086049E-02, -9.812227033936076E-03,  5.240464899930771E-05,  5.774009521736679E-03,  9.997387576986637E-01,  1.786703200464771E-04,
2459969.500000000, A.D. 2023-Jan-25 00:00:00.0000, -5.683558058120607E-01,  8.224710422689182E-01, -2.352658033357484E-03, -1.452929691026007E-02, -9.822815054587271E-03,  5.250480026814397E-05,  5.774052527866996E-03,  9.997462039792996E-01,  1.787511578447462E-04,
2459969.541666667, A.D. 2023-Jan-25 01:00:00.0000, -5.689610454956621E-01,  8.220615378137262E-01, -2.350468247175237E-03, -1.452220663257499E-02, -9.833397932740814E-03,  5.260493397960402E-05,  5.774095553457226E-03,  9.997536536293158E-01,  1.788320504503001E-04,
2459969.583333333, A.D. 2023-Jan-25 02:00:00.0000, -5.695659895923781E-01,  8.216515925129980E-01, -2.348274289760238E-03, -1.451510874150582E-02, -9.843975640562665E-03,  5.270500919970695E-05,  5.774138598519427E-03,  9.997611066507992E-01,  1.789129879741341E-04,
2459969.625000000, A.D. 2023-Jan-25 03:00:00.0000, -5.701706377850816E-01,  8.212412065822250E-01, -2.346076164062629E-03, -1.450800324018813E-02, -9.854548173758077E-03,  5.280501127496043E-05,  5.774181663064226E-03,  9.997685630455897E-01,  1.789939691471349E-04,
2459969.666666667, A.D. 2023-Jan-25 04:00:00.0000, -5.707749897567503E-01,  8.208303802371342E-01, -2.343873873132312E-03, -1.450089013236091E-02, -9.865115527004925E-03,  5.290494032475216E-05,  5.774224747102122E-03,  9.997760228155054E-01,  1.790749938528999E-04,
2459969.708333333, A.D. 2023-Jan-25 05:00:00.0000, -5.713790451905101E-01,  8.204191136936843E-01, -2.341667420016299E-03, -1.449376942121477E-02, -9.875677694047926E-03,  5.300479626222674E-05,  5.774267850643611E-03,  9.997834859623634E-01,  1.791560624277496E-04,
2459969.750000000, A.D. 2023-Jan-25 06:00:00.0000, -5.719828037696342E-01,  8.200074071680715E-01, -2.339456807767278E-03, -1.448664111109330E-02, -9.886234670227367E-03,  5.310457568573760E-05,  5.774310973699206E-03,  9.997909524879841E-01,  1.792371745636492E-04,
2459969.791666667, A.D. 2023-Jan-25 07:00:00.0000, -5.725862651770751E-01,  8.195952608770648E-01, -2.337242040456683E-03, -1.447950517434691E-02, -9.896786427012590E-03,  5.320424066758294E-05,  5.774354116279491E-03,  9.997984223942001E-01,  1.793183312713264E-04,
2459969.833333333, A.D. 2023-Jan-25 08:00:00.0000, -5.731894290953669E-01,  8.191826750381106E-01, -2.335023122011363E-03, -1.447236164128848E-02, -9.907332976851977E-03,  5.330383120554792E-05,  5.774397278395262E-03,  9.998058956828808E-01,  1.793995329064090E-04,
2459969.875000000, A.D. 2023-Jan-25 09:00:00.0000, -5.737922952083128E-01,  8.187696498681483E-01, -2.332800055170193E-03, -1.446521051213100E-02, -9.917874309952545E-03,  5.340337239716623E-05,  5.774440460057497E-03,  9.998133723559266E-01,  1.794807809161386E-04,
2459969.916666667, A.D. 2023-Jan-25 10:00:00.0000, -5.743948631993139E-01,  8.183561855847491E-01, -2.330572841828019E-03, -1.445805178990808E-02, -9.928410424012187E-03,  5.350285420571817E-05,  5.774483661277217E-03,  9.998208524152464E-01,  1.795620722909636E-04,
2459969.958333333, A.D. 2023-Jan-25 11:00:00.0000, -5.749971327521349E-01,  8.179422824053193E-01, -2.328341485065867E-03, -1.445088548399681E-02, -9.938941318767108E-03,  5.360225000961589E-05,  5.774526882064286E-03,  9.998283358625473E-01,  1.796434060506717E-04,
2459970.000000000, A.D. 2023-Jan-25 12:00:00.0000, -5.755991035511276E-01,  8.175279405474587E-01, -2.326105988475906E-03, -1.444371160782648E-02, -9.949466987114139E-03,  5.370157894247023E-05,  5.774570122429838E-03,  9.998358226997575E-01,  1.797247890618739E-04,
2459970.041666667, A.D. 2023-Jan-25 13:00:00.0000, -5.762007752809688E-01,  8.171131602291082E-01, -2.323866354342748E-03, -1.443653016313520E-02, -9.959987422384015E-03,  5.380084498026702E-05,  5.774613382386090E-03,  9.998433129289922E-01,  1.798062211558807E-04,
2459970.083333333, A.D. 2023-Jan-25 14:00:00.0000, -5.768021476262718E-01,  8.166979416683211E-01, -2.321622585898376E-03, -1.442934115154594E-02, -9.970502623184210E-03,  5.390002246860445E-05,  5.774656661944003E-03,  9.998508065521492E-01,  1.798876978470218E-04,
2459970.125000000, A.D. 2023-Jan-25 15:00:00.0000, -5.774032202718626E-01,  8.162822850832787E-01, -2.319374686827792E-03, -1.442214457896281E-02, -9.981012587638316E-03,  5.399911498306659E-05,  5.774699961114258E-03,  9.998583035710781E-01,  1.799692174521690E-04,
2459970.166666667, A.D. 2023-Jan-25 16:00:00.0000, -5.780039929028612E-01,  8.158661906921753E-01, -2.317122660678341E-03, -1.441494044896158E-02, -9.991517311335883E-03,  5.409812524993724E-05,  5.774743279906988E-03,  9.998658039875333E-01,  1.800507790268972E-04,
2459970.208333333, A.D. 2023-Jan-25 17:00:00.0000, -5.786044652042546E-01,  8.154496587136234E-01, -2.314866510660242E-03, -1.440772875844113E-02, -1.000201678427063E-02,  5.419706043260342E-05,  5.774786618332260E-03,  9.998733078032579E-01,  1.801323823114132E-04,
2459970.250000000, A.D. 2023-Jan-25 18:00:00.0000, -5.792046368611056E-01,  8.150326893665201E-01, -2.312606239900592E-03, -1.440050951179137E-02, -1.001251100098392E-02,  5.429592070136059E-05,  5.774829976400141E-03,  9.998808150199944E-01,  1.802140276684956E-04,
2459970.291666667, A.D. 2023-Jan-25 19:00:00.0000, -5.798045075586327E-01,  8.146152828699922E-01, -2.310341851525293E-03, -1.439328271186903E-02, -1.002299995580772E-02,  5.439470601653547E-05,  5.774873354120700E-03,  9.998883256394869E-01,  1.802957147440094E-04,
2459970.333333333, A.D. 2023-Jan-25 20:00:00.0000, -5.804040769822059E-01,  8.141974394434003E-01, -2.308073348655415E-03, -1.438604836210271E-02, -1.003348364311623E-02,  5.449341606651559E-05,  5.774916751504024E-03,  9.998958396634815E-01,  1.803774434790361E-04,
2459970.375000000, A.D. 2023-Jan-25 21:00:00.0000, -5.810033448173973E-01,  8.137791593062856E-01, -2.305800734400625E-03, -1.437880647702615E-02, -1.004396206875204E-02,  5.459205538967955E-05,  5.774960168560125E-03,  9.999033570937118E-01,  1.804592109221890E-04,
2459970.416666667, A.D. 2023-Jan-25 22:00:00.0000, -5.816023107512155E-01,  8.133604426763904E-01, -2.303524011741197E-03, -1.437155708963320E-02, -1.005443528701181E-02,  5.469061604594988E-05,  5.775003605293798E-03,  9.999108779310084E-01,  1.805409855575231E-04,
2459970.458333333, A.D. 2023-Jan-25 23:00:00.0000, -5.822009744701472E-01,  8.129412897724588E-01, -2.301243183961907E-03, -1.436430016390958E-02, -1.006490322167061E-02,  5.478910115574979E-05,  5.775047061711232E-03,  9.999184021764425E-01,  1.806228019319026E-04,
2459970.500000000, A.D. 2023-Jan-26 00:00:00.0000, -5.827993356601973E-01,  8.125217008147553E-01, -2.298958254212663E-03, -1.435703570404667E-02, -1.007536586729472E-02,  5.488751056127198E-05,  5.775090537822556E-03,  9.999259298317673E-01,  1.807046602720254E-04,
2459970.541666667, A.D. 2023-Jan-26 01:00:00.0000, -5.833973940075858E-01,  8.121016760237579E-01, -2.296669225633611E-03, -1.434976371379554E-02, -1.008582321817329E-02,  5.498584418122417E-05,  5.775134033638024E-03,  9.999334608987596E-01,  1.807865607741672E-04,
2459970.583333333, A.D. 2023-Jan-26 02:00:00.0000, -5.839951491985103E-01,  8.116812156202141E-01, -2.294376101405536E-03, -1.434248419691441E-02, -1.009627526921584E-02,  5.508410194578657E-05,  5.775177549167486E-03,  9.999409953791241E-01,  1.808685031312680E-04,
2459970.625000000, A.D. 2023-Jan-26 03:00:00.0000, -5.845926009194999E-01,  8.112603198250532E-01, -2.292078884686413E-03, -1.433519715764739E-02, -1.010672201500061E-02,  5.518228368990056E-05,  5.775221084421170E-03,  9.999485332746315E-01,  1.809504875924070E-04,
2459970.666666667, A.D. 2023-Jan-26 04:00:00.0000, -5.851897488572096E-01,  8.108389888594715E-01, -2.289777578658076E-03, -1.432790260054059E-02, -1.011716344773226E-02,  5.528038835467258E-05,  5.775264639409378E-03,  9.999560745870660E-01,  1.810325165099306E-04,
2459970.708333333, A.D. 2023-Jan-26 05:00:00.0000, -5.857865926985504E-01,  8.104172229450001E-01, -2.287472186529497E-03, -1.432060053254723E-02, -1.012759956090881E-02,  5.537841682825806E-05,  5.775308214143254E-03,  9.999636193183568E-01,  1.811145925912796E-04,
2459970.750000000, A.D. 2023-Jan-26 06:00:00.0000, -5.863831321305383E-01,  8.099950223033796E-01, -2.285162711455964E-03, -1.431329095247048E-02, -1.013803035118010E-02,  5.547636950845696E-05,  5.775351808633677E-03,  9.999711674703879E-01,  1.811967112174419E-04,
2459970.791666667, A.D. 2023-Jan-26 07:00:00.0000, -5.869793668402686E-01,  8.095723871564559E-01, -2.282849156624787E-03, -1.430597386519079E-02, -1.014845581389654E-02,  5.557424482244178E-05,  5.775395422890698E-03,  9.999787190448990E-01,  1.812788723847027E-04,
2459970.833333333, A.D. 2023-Jan-26 08:00:00.0000, -5.875752965150753E-01,  8.091493177263803E-01, -2.280531525256644E-03, -1.429864927638481E-02, -1.015887594152495E-02,  5.567204331386564E-05,  5.775439056925002E-03,  9.999862740437405E-01,  1.813610788893976E-04,
2459970.875000000, A.D. 2023-Jan-26 09:00:00.0000, -5.881709208424538E-01,  8.087258142355598E-01, -2.278209820548408E-03, -1.429131718940388E-02, -1.016929072885672E-02,  5.576976496285676E-05,  5.775482710747424E-03,  9.999938324687886E-01,  1.814433302816659E-04,
2459970.916666667, A.D. 2023-Jan-26 10:00:00.0000, -5.887662395100520E-01,  8.083018769066205E-01, -2.275884045700636E-03, -1.428397760746182E-02, -1.017970017005259E-02,  5.586740991758740E-05,  5.775526384368743E-03,  1.000001394321909E+00,  1.815256265388729E-04,
2459970.958333333, A.D. 2023-Jan-26 11:00:00.0000, -5.893612522057000E-01,  8.078775059624086E-01, -2.273554203870110E-03, -1.427663053453123E-02, -1.019010427092035E-02,  5.596498006780826E-05,  5.775570077799788E-03,  1.000008959604978E+00,  1.816079586701632E-04,
2459971.000000000, A.D. 2023-Jan-26 12:00:00.0000, -5.899559586168758E-01,  8.074527016234214E-01, -2.271220298242496E-03, -1.426927595395878E-02, -1.020050310914867E-02,  5.606247203289105E-05,  5.775613791037635E-03,  1.000016528317488E+00,  1.816902475277347E-04,
2459971.041666667, A.D. 2023-Jan-26 13:00:00.0000, -5.905503584312245E-01,  8.070274641111246E-01, -2.268882332046192E-03, -1.426191388777696E-02, -1.021089658888112E-02,  5.615988731003465E-05,  5.775657524082879E-03,  1.000024100459542E+00,  1.817725769375562E-04,
2459971.083333333, A.D. 2023-Jan-26 14:00:00.0000, -5.911444513369287E-01,  8.066017936489049E-01, -2.266540308485789E-03, -1.425454434009788E-02, -1.022128470458982E-02,  5.625722550400082E-05,  5.775701276945295E-03,  1.000031676032834E+00,  1.818549471542951E-04,
2459971.125000000, A.D. 2023-Jan-26 15:00:00.0000, -5.917382370223623E-01,  8.061756904604164E-01, -2.264194230792577E-03, -1.424716731587688E-02, -1.023166744846387E-02,  5.635448548312255E-05,  5.775745049634974E-03,  1.000039255039110E+00,  1.819373607737566E-04,
2459971.166666667, A.D. 2023-Jan-26 16:00:00.0000, -5.923317151761045E-01,  8.057491547696137E-01, -2.261844102211686E-03, -1.423978281927669E-02, -1.024204481465821E-02,  5.645166810880972E-05,  5.775788842162504E-03,  1.000046837480203E+00,  1.820198183318221E-04,
2459971.208333333, A.D. 2023-Jan-26 17:00:00.0000, -5.929248854868912E-01,  8.053221868006900E-01, -2.259489925971616E-03, -1.423239085416935E-02, -1.025241679725726E-02,  5.654877326272826E-05,  5.775832654538528E-03,  1.000054423357956E+00,  1.821023202504211E-04,
2459971.250000000, A.D. 2023-Jan-26 18:00:00.0000, -5.935177476435964E-01,  8.048947867780398E-01, -2.257131705289309E-03, -1.422499142348487E-02, -1.026278339292844E-02,  5.664580108512821E-05,  5.775876486773494E-03,  1.000062012674179E+00,  1.821848643116468E-04,
2459971.291666667, A.D. 2023-Jan-26 19:00:00.0000, -5.941103013352186E-01,  8.044669549262121E-01, -2.254769443393562E-03, -1.421758453130021E-02, -1.027314459704308E-02,  5.674275156129872E-05,  5.775920338877402E-03,  1.000069605430602E+00,  1.822674500230903E-04,
2459971.333333333, A.D. 2023-Jan-26 20:00:00.0000, -5.947025462509109E-01,  8.040386914699736E-01, -2.252403143519847E-03, -1.421017018011975E-02, -1.028350040394002E-02,  5.683962419563157E-05,  5.775964210860195E-03,  1.000077201628947E+00,  1.823500767899156E-04,
2459971.375000000, A.D. 2023-Jan-26 21:00:00.0000, -5.952944820800077E-01,  8.036099966343400E-01, -2.250032808923306E-03, -1.420274837522374E-02, -1.029385080670764E-02,  5.693641808677118E-05,  5.776008102731995E-03,  1.000084801270967E+00,  1.824327466712604E-04,
2459971.416666667, A.D. 2023-Jan-26 22:00:00.0000, -5.958861085120368E-01,  8.031808706446053E-01, -2.247658442872032E-03, -1.419531912153894E-02, -1.030419579988438E-02,  5.703313406529102E-05,  5.776052014503288E-03,  1.000092404358478E+00,  1.825154603473943E-04,
2459971.458333333, A.D. 2023-Jan-26 23:00:00.0000, -5.964774252366838E-01,  8.027513137262926E-01, -2.245280048627442E-03, -1.418788242188179E-02, -1.031453537758229E-02,  5.712977153311689E-05,  5.776095946184565E-03,  1.000100010893295E+00,  1.825982175872912E-04,
2459971.500000000, A.D. 2023-Jan-27 00:00:00.0000, -5.970684319437972E-01,  8.023213261051558E-01, -2.242897629455141E-03, -1.418043827996048E-02, -1.032486953439037E-02,  5.722633045969037E-05,  5.776139897786350E-03,  1.000107620877242E+00,  1.826810183046175E-04,
2459971.541666667, A.D. 2023-Jan-27 01:00:00.0000, -5.976591283234474E-01,  8.018909080071582E-01, -2.240511188611614E-03, -1.417298670119246E-02, -1.033519826512831E-02,  5.732281127457891E-05,  5.776183869319306E-03,  1.000115234312164E+00,  1.827638632486553E-04,
2459971.583333333, A.D. 2023-Jan-27 02:00:00.0000, -5.982495140656862E-01,  8.014600596585343E-01, -2.238120729391152E-03, -1.416552768863285E-02, -1.034552156328455E-02,  5.741921260364674E-05,  5.776227860793689E-03,  1.000122851199837E+00,  1.828467528269740E-04,
2459971.625000000, A.D. 2023-Jan-27 03:00:00.0000, -5.988395888606309E-01,  8.010287812884311E-01, -2.235726254394323E-03, -1.415806122425147E-02, -1.035583928900507E-02,  5.751559163663369E-05,  5.776271872231847E-03,  1.000130471544130E+00,  1.829297814544981E-04,
2459971.666666667, A.D. 2023-Jan-27 04:00:00.0000, -5.994293523978613E-01,  8.005970731268222E-01, -2.233327764149697E-03, -1.415058732671971E-02, -1.036615155668373E-02,  5.761191138162430E-05,  5.776315903656429E-03,  1.000138095348965E+00,  1.830128619286633E-04,
