API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Mon Sep 21 19:49:13 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Hubble Space Telescope (spacecraft) (-48) {source: hst}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2003-Feb-02 06:00:00.0000 TDB
Stop  time      : A.D. 2003-Feb-02 14:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2452672.767361111, A.D. 2003-Feb-02 06:25:00.0000, -6.698605847319964E-01,  6.575741289310462E-01,  2.850494718802035E-01, -1.672934899666584E-02, -8.789684972572473E-03, -4.343896778087602E-03,
2452672.768055555, A.D. 2003-Feb-02 06:26:00.0000, -6.698722377502717E-01,  6.575679448623510E-01,  2.850465017866931E-01, -1.682854948449314E-02, -9.021801868047855E-03, -4.210271244078947E-03,
2452672.768750000, A.D. 2003-Feb-02 06:27:00.0000, -6.698839538258322E-01,  6.575615968828037E-01,  2.850436238147737E-01, -1.691088883818796E-02, -9.261580819374369E-03, -4.078682807941259E-03,
2452672.769444444, A.D. 2003-Feb-02 06:28:00.0000, -6.698957211229869E-01,  6.575550800222530E-01,  2.850408363546937E-01, -1.697601447087036E-02, -9.508006595868158E-03, -3.949691757961399E-03,
2452672.770138889, A.D. 2003-Feb-02 06:29:00.0000, -6.699075275861671E-01,  6.575483900256816E-01,  2.850381374111774E-01, -1.702364596337430E-02, -9.760035523759416E-03, -3.823847716932279E-03,
2452672.770833333, A.D. 2003-Feb-02 06:30:00.0000, -6.699193609904943E-01,  6.575415233714923E-01,  2.850355246116217E-01, -1.705357631736554E-02, -1.001659972763402E-02, -3.701687365506277E-03,
2452672.771527778, A.D. 2003-Feb-02 06:31:00.0000, -6.699312089931208E-01,  6.575344772868102E-01,  2.850329952158618E-01, -1.706567292989596E-02, -1.027661148409610E-02, -3.583732205739181E-03,
2452672.772222222, A.D. 2003-Feb-02 06:32:00.0000, -6.699430591851487E-01,  6.575272497597254E-01,  2.850305461274735E-01, -1.705987828219900E-02, -1.053896767486963E-02, -3.470486372831232E-03,
2452672.772916667, A.D. 2003-Feb-02 06:33:00.0000, -6.699548991439280E-01,  6.575198395484136E-01,  2.850281739065766E-01, -1.703621033581521E-02, -1.080255432561522E-02, -3.362434503403337E-03,
2452672.773611111, A.D. 2003-Feb-02 06:34:00.0000, -6.699667164855235E-01,  6.575122461870794E-01,  2.850258747840986E-01, -1.699476262959071E-02, -1.106625121569677E-02, -3.260039668964900E-03,
2452672.774305556, A.D. 2003-Feb-02 06:35:00.0000, -6.699784989171459E-01,  6.575044699886791E-01,  2.850236446774470E-01, -1.693570407173529E-02, -1.132893654300865E-02, -3.163741383519205E-03,
2452672.775000000, A.D. 2003-Feb-02 06:36:00.0000, -6.699902342893294E-01,  6.574965120443884E-01,  2.850214792075398E-01, -1.685927842197895E-02, -1.158949162681102E-02, -3.073953694488534E-03,
2452672.775694444, A.D. 2003-Feb-02 06:37:00.0000, -6.700019106476424E-01,  6.574883742197976E-01,  2.850193737171294E-01, -1.676580345993428E-02, -1.184680563034753E-02, -2.991063366308106E-03,
2452672.776388889, A.D. 2003-Feb-02 06:38:00.0000, -6.700135162837090E-01,  6.574800591478255E-01,  2.850173232903533E-01, -1.665566983705994E-02, -1.209978028388227E-02, -2.915428166114580E-03,
2452672.777083333, A.D. 2003-Feb-02 06:39:00.0000, -6.700250397853248E-01,  6.574715702183591E-01,  2.850153227734383E-01, -1.652933961111986E-02, -1.234733458773029E-02, -2.847375260928213E-03,
2452672.777777778, A.D. 2003-Feb-02 06:40:00.0000, -6.700364700854436E-01,  6.574629115646399E-01,  2.850133667964748E-01, -1.638734446373124E-02, -1.258840947390825E-02, -2.787199735583725E-03,
2452672.778472222, A.D. 2003-Feb-02 06:41:00.0000, -6.700477965098165E-01,  6.574540880464333E-01,  2.850114497961764E-01, -1.623028360346816E-02, -1.282197240424218E-02, -2.735163240395165E-03,
2452672.779166667, A.D. 2003-Feb-02 06:42:00.0000, -6.700590088230679E-01,  6.574451052300347E-01,  2.850095660395298E-01, -1.605882135901033E-02, -1.304702188216672E-02, -2.691492777139526E-03,
2452672.779861111, A.D. 2003-Feb-02 06:43:00.0000, -6.700700972729944E-01,  6.574359693651770E-01,  2.850077096482365E-01, -1.587368446896113E-02, -1.326259185507410E-02, -2.656379631410249E-03,
2452672.780555556, A.D. 2003-Feb-02 06:44:00.0000, -6.700810526328781E-01,  6.574266873589260E-01,  2.850058746238419E-01, -1.567565907716767E-02, -1.346775598394078E-02, -2.629978458728247E-03,
2452672.781250000, A.D. 2003-Feb-02 06:45:00.0000, -6.700918662416153E-01,  6.574172667466643E-01,  2.850040548734434E-01, -1.546558744461646E-02, -1.366163175709449E-02, -2.612406531011152E-03,
2452672.781944444, A.D. 2003-Feb-02 06:46:00.0000, -6.701025300414677E-01,  6.574077156602777E-01,  2.850022442358628E-01, -1.524436439120064E-02, -1.384338442540141E-02, -2.603743149099860E-03,
2452672.782638889, A.D. 2003-Feb-02 06:47:00.0000, -6.701130366132526E-01,  6.573980427936771E-01,  2.850004365081669E-01, -1.501293348282032E-02, -1.401223073684697E-02, -2.604029226040074E-03,
2452672.783333333, A.D. 2003-Feb-02 06:48:00.0000, -6.701233792088034E-01,  6.573882573658044E-01,  2.849986254724178E-01, -1.477228298133426E-02, -1.416744244945742E-02, -2.613267044729846E-03,
2452672.784027778, A.D. 2003-Feb-02 06:49:00.0000, -6.701335517805403E-01,  6.573783690812779E-01,  2.849968049225290E-01, -1.452344157679018E-02, -1.430834960274667E-02, -2.631420192391735E-03,
2452672.784722222, A.D. 2003-Feb-02 06:50:00.0000, -6.701435490080084E-01,  6.573683880888587E-01,  2.849949686911057E-01, -1.426747392308070E-02, -1.443434352935402E-02, -2.658413673129861E-03,
