ra,dec,helio_dist
214.20409652170108,-7.6934430800001055,125.49219050795224
209.4642607117855,-19.851097383555,66.7582829680603
201.45218045885363,-4.322786855119154,128.40677567347177
210.40473682578485,-19.07507848040553,56.8802572470034
199.34334037848143,-8.065071217853182,106.60556808536616
216.63296140000793,-8.125892860008387,57.182846962210085
212.96802275736152,-15.86747187457183,119.98018431512023
213.71816686884569,-13.887115582075893,106.14984023868341
217.63209424445435,-10.907672164096827,123.06169641381054
205.67054059961228,-8.806754681021358,138.90287880865694
201.17905949647349,-3.972481406213836,103.58368667999815
213.28977681218137,-14.223895583476374,64.99155816029557
205.8234699796883,-13.616237900139721,102.20425051239503
207.8960512441546,-7.9015520115281666,114.00873216941609
206.81593068809022,-18.86295717107968,132.3685818019036
199.79700913450986,-6.844358089067875,109.81559159295666
204.29369366645804,-18.65923106722675,98.90375743971681
200.69824360364646,-11.654518448127128,111.55817483894573
215.25767778735874,-15.998298056529885,134.67028513766024
214.17440544629645,-15.538669791265786,80.14328054927392
209.85566637424245,-17.641025915608907,61.49949243360691
199.20917107831133,-6.516365119433985,115.77367857607248
212.62321732628317,-14.194705371142943,138.8276671340207
201.14980082550866,-8.256648621798258,112.39519262705883
211.73600797038384,-1.8497337079454221,134.7534259224608
203.66687649962202,-17.051292029095364,62.389331608034816
207.15440843429076,-18.094994145193297,130.2850238173564
199.48541271884883,-13.18052461572721,114.23240695459354
198.82616371188277,-10.450259479658621,118.18213686296698
209.49716142139462,-16.325220791571578,106.19304292822055
209.83219884662418,-5.397660357904277,106.53263589402955
210.51178651939654,-1.6509407288266125,127.84694319491858
210.99895757297415,-7.907000322094686,114.11586757507075
200.77490209764034,-7.28282026521916,79.87538341543905
213.30958690729307,-9.691213527887287,74.20174543842265
197.99648530633905,-10.222642671563026,119.94637845752312
202.2573256341131,-17.302862391170454,140.10479893223754
217.84814107385372,-11.157097568835429,112.99688761345094
213.2704359013195,-16.545625836278646,104.7081934568812
205.6916295236909,-2.0829359139000903,98.3909771202067
207.27867405139312,-6.220778750875737,70.22971783959306
211.41881762529857,-1.811754663813755,120.14911476010292
198.25996153319844,-10.048945764432872,112.38698364361228
215.43925596086274,-4.322694960074383,52.82334603014207
213.41181708889093,-16.46559405995891,99.98498912600715
209.5771214396695,-16.227216600794794,83.47724946872235
207.30902322042905,-18.18245827571193,100.78270888202057
216.42202899786153,-11.745655270408259,120.01858768555635
208.1528634480066,-10.067649865448468,41.74658009733065
216.0713504164446,-8.239473829961904,96.38324564143502
209.14400757762564,-19.917318448457593,99.84612060195778
212.5888052785889,-18.33317233724045,125.0762890544223
208.35282095376792,-19.565039198979537,110.119015446751
206.40549500961114,-18.46595771884233,67.73583874800552
201.17894874234543,-14.222213743336974,112.23660439577527
209.71453594533713,-12.467420125702722,136.44139192416657
204.33039738296821,-18.882471177471093,90.63905226215049
214.77069180320663,-16.273823821291156,91.83423317317562
203.75564786546823,-8.409200384494014,131.44897289153138
200.18712234700996,-9.206340894683185,98.8163719396212
202.6152160682957,-12.96117372200656,66.5305875179389
209.99555038504172,-20.731178284504377,119.86738652887756
203.0256238492907,-3.129174703498232,120.48928681214143
211.0023739652866,-8.321795607882786,87.18029927641274
209.33988657444758,-11.541822627260702,42.21903848831834
212.2806328816073,-16.786698661501653,102.65574030376105
205.37182251292253,-4.992228519808948,108.94816102936333
216.0707349589885,-17.02299484367726,62.49806838879734
206.10587847241493,-15.406187968220634,110.47045053154726
208.38650503598868,-7.118986301884407,86.24738315681526
201.7577213774086,-17.277414569422664,116.99486718417552
209.53605798161087,-6.389804959194922,72.37296105707281
213.56808958570204,-10.86504700638605,57.58569215646246
211.79499523081796,-6.078737085621075,134.8146612392196
204.32140364071094,-4.489447778569059,92.71808586381788
211.22598414800194,-13.421362853391477,143.88738729551227
214.9346920063535,-7.843734587884671,82.69868360853532
204.10116467761458,-6.560128022358665,128.54262224402356
211.41555653015874,-7.479146074500671,116.39934844390788
209.34812885003348,-12.370476943776518,118.19328141657967
209.77544134194514,-4.251885084214332,119.4713032231082
211.12461650037667,-14.424556537132672,32.248852604602995
204.90000337083887,-14.336412550334735,139.06165611000498
209.65436097243102,-1.4881414151636823,104.78205682012121
208.43189231414453,-19.19901306460427,61.60864867643133
206.82998665070937,-18.683926446204936,113.0506303893948
208.16747831140347,-8.506312145404712,63.42965081409843
204.65311587669655,-16.27461414696276,123.65486047909322
201.09071090497685,-8.535713036411904,56.12851852746426
200.92191458103437,-8.194379420787836,75.12071918264643
206.90808208131259,-12.500443592895293,68.7963986477007
198.25191401508167,-12.569498412744572,77.6270443421448
207.53977857389216,-12.933423607083094,58.172086320473255
212.21243227498843,-7.338615616039272,132.75469027130498
213.08208772141796,-7.221832784790851,46.54176823110763
213.07671256613276,-17.644134092060217,120.9623008494114
215.80514416510906,-16.10972492428756,66.38409316292926
215.65919602255588,-16.63833282816594,60.71051045973561
205.4028568148006,-15.184644939883114,123.04889394755747
214.97949369495896,-5.2838533673531956,126.91429006154654
202.148717072282,-15.381137285850905,139.62944019655498
214.51298976167809,-11.61816653110894,131.51269055337
201.72052885460752,-14.280756035571182,122.20762949601665
202.47840601184944,-19.39116611049329,101.89439142882308
203.09650698553605,-5.051864750113074,59.469334742352615
212.09514155676678,-11.18574543438357,123.3266021402201
207.54368793695593,-13.612447722754595,103.05746920413549
202.2093482794973,-9.664383828839272,65.29633067192073
206.18707185227393,-10.426835225397365,123.08760088337975
199.16367714071924,-11.789977193725415,59.140764869679145
201.9450411917899,-16.66750761056442,72.93147194667912
212.31799848483644,-15.721608303459908,125.55413379763532
207.66519045831197,-11.287641886906666,94.4444581555316
214.5446366390768,-18.816412583273628,131.81211623508796
198.76385863513698,-11.181040577745552,73.39215216786808
209.48195180903812,-11.059159050610159,52.05828172364678
211.71445824723824,-8.594737459511801,54.76776998256646
203.0502767430984,-16.464679684724402,129.22136479714626
203.81595657337044,-3.790856418303346,124.48830592600602
204.32365149294583,-17.10100973662691,77.44823483562843
199.40150304865654,-11.71235799030249,107.6454481125849
203.40121431188672,-3.166694997936911,101.07269545614498
205.64505793120318,-2.941587028003698,118.84474002624788
216.77988608463227,-12.33515645580018,135.82431726625188
208.54826234702568,-11.79463024442912,58.38389680520539
210.41459386235317,-18.111571022708254,128.79203092328794
209.37498144285226,-13.54236746405312,119.54215482339751
208.80417151010244,-6.955693917161527,123.21752512820399
201.30902555805366,-7.477806665569631,135.3765338102323
209.7171274871176,-9.298319230351009,127.88208404024603
215.822044887268,-15.602714646071737,40.15959100564715
